epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4946,3.3552,31.6216,2.6385,0.00546,0.00522,0.00052,0.00017,3.26739,8.89877,2.77053,0.080464,0.000197333,0.000197333
2,23.3319,3.19382,6.16438,2.61679,0.00094,0.22193,0.00079,0.00024,3.22544,4.28846,2.69715,0.0606614,0.000394711,0.000394711
3,34.2587,3.18061,4.72896,2.56144,0.00111,0.24282,0.00078,0.00021,3.3486,4.05793,2.49891,0.0408561,0.000589449,0.000589449
4,45.0466,3.2903,4.33173,2.6068,0.00106,0.14883,0.00079,0.00025,3.30951,4.12879,2.56335,0.0210482,0.000781546,0.000781546
5,55.9988,3.02235,4.09858,2.43123,0.00206,0.2846,0.00402,0.00101,3.24447,3.83407,2.73456,0.00123767,0.000971004,0.000971004
6,66.7968,3.10094,3.95035,2.44842,0.04708,0.01567,0.01004,0.00247,3.08643,3.54617,2.66237,0.000967,0.000967,0.000967
7,77.5431,2.94228,3.93083,2.35605,0.09237,0.03109,0.01749,0.005,2.91261,3.54757,2.39168,0.0009604,0.0009604,0.0009604
8,88.4387,2.85627,3.77463,2.22028,0.08056,0.05483,0.01813,0.00559,2.90435,3.55247,2.41802,0.0009538,0.0009538,0.0009538
9,99.3469,2.82556,3.70703,2.21455,0.08368,0.03916,0.02384,0.00756,2.80865,3.49176,2.21952,0.0009472,0.0009472,0.0009472
10,110.118,2.79446,3.62361,2.13738,0.13835,0.04439,0.03311,0.0097,2.66327,3.26812,2.1734,0.0009406,0.0009406,0.0009406
11,120.938,2.66731,3.50694,2.07459,0.09794,0.11566,0.03338,0.01206,2.58352,3.20741,2.18305,0.000934,0.000934,0.000934
12,131.614,2.65253,3.5774,2.13601,0.13835,0.08877,0.04241,0.01515,2.57451,3.15488,2.11537,0.0009274,0.0009274,0.0009274
13,142.444,2.63654,3.45507,2.08544,0.12866,0.047,0.04164,0.01517,2.45605,3.14432,2.06028,0.0009208,0.0009208,0.0009208
14,153.161,2.54312,3.44738,2.0547,0.10411,0.12533,0.04428,0.01553,2.4129,3.12438,2.02147,0.0009142,0.0009142,0.0009142
15,164.173,2.45316,3.36523,1.98698,0.11713,0.11749,0.05007,0.01716,2.36196,3.01504,2.02257,0.0009076,0.0009076,0.0009076
16,174.945,2.43997,3.36371,1.99453,0.13413,0.13316,0.06471,0.02102,2.4096,2.9759,1.99997,0.000901,0.000901,0.000901
17,185.672,2.4927,3.2136,1.95955,0.13911,0.11813,0.06607,0.02311,2.36033,3.01256,1.93335,0.0008944,0.0008944,0.0008944
18,196.6,2.41417,3.35498,1.95232,0.15188,0.16449,0.06815,0.02645,2.36744,3.03902,1.93034,0.0008878,0.0008878,0.0008878
19,207.503,2.46665,3.26692,1.93141,0.14655,0.16971,0.0673,0.02583,2.34398,3.02288,1.93016,0.0008812,0.0008812,0.0008812
20,218.359,2.44476,3.28183,1.96018,0.19418,0.13527,0.08499,0.03327,2.31653,2.94484,1.91024,0.0008746,0.0008746,0.0008746
21,229.177,2.43526,3.20461,1.94021,0.16759,0.1556,0.08343,0.03104,2.27628,2.94334,1.8946,0.000868,0.000868,0.000868
22,240.062,2.26904,3.12005,1.86032,0.1842,0.17493,0.10327,0.04167,2.23936,2.7982,1.86379,0.0008614,0.0008614,0.0008614
23,250.898,2.32004,3.17738,1.89944,0.21552,0.1436,0.10051,0.0394,2.27415,2.85777,1.86635,0.0008548,0.0008548,0.0008548
24,261.844,2.36488,3.1582,1.8715,0.18409,0.15927,0.10175,0.0395,2.25037,2.9352,1.81813,0.0008482,0.0008482,0.0008482
25,272.898,2.27308,3.0835,1.81061,0.19174,0.20366,0.11535,0.04645,2.17495,2.76692,1.78468,0.0008416,0.0008416,0.0008416
