epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8241,3.08798,24.5648,2.32704,0.0032,0.00623,0.00054,0.00019,2.69406,8.0121,2.24801,0.080464,0.000197333,0.000197333
2,24.056,2.75935,5.875,2.21895,0.01974,0.00623,0.00642,0.00147,2.52163,4.15718,2.17711,0.0606614,0.000394711,0.000394711
3,35.4344,2.54336,4.08121,2.11285,0.22418,0.12461,0.06882,0.02742,2.41369,3.32946,2.19426,0.0408561,0.000589449,0.000589449
4,46.7825,2.36415,3.33663,2.03006,0.2327,0.11215,0.08026,0.02896,2.33021,3.27396,2.08504,0.0210482,0.000781546,0.000781546
5,58.0127,2.32534,3.03068,2.00609,0.37596,0.21184,0.18356,0.06944,2.21734,2.84319,2.07745,0.00123767,0.000971004,0.000971004
6,69.3392,2.26987,2.88983,1.9325,0.36922,0.32458,0.27589,0.10139,2.11256,2.33868,1.97583,0.000967,0.000967,0.000967
7,80.4912,2.12218,2.57689,1.89207,0.38376,0.26168,0.24538,0.10223,2.00662,2.44182,1.86766,0.0009604,0.0009604,0.0009604
8,91.5772,2.12429,2.49542,1.78725,0.36395,0.29907,0.25103,0.1074,2.0088,2.33769,1.79546,0.0009538,0.0009538,0.0009538
9,102.671,2.14979,2.34561,1.78249,0.51777,0.37072,0.37004,0.15718,1.95791,2.12224,1.7697,0.0009472,0.0009472,0.0009472
10,113.94,2.03285,2.31132,1.71734,0.44535,0.41433,0.38227,0.16259,1.92416,2.27888,1.76196,0.0009406,0.0009406,0.0009406
11,125.07,2.02804,2.15189,1.66784,0.49716,0.31776,0.3291,0.13418,2.01217,2.25278,1.76965,0.000934,0.000934,0.000934
12,136.248,2.02104,2.23728,1.69651,0.45535,0.44237,0.37787,0.17026,1.92801,2.19266,1.67335,0.0009274,0.0009274,0.0009274
13,147.244,2.02955,2.21573,1.63502,0.47982,0.4081,0.37443,0.16181,1.89924,2.12509,1.60097,0.0009208,0.0009208,0.0009208
14,158.252,1.92395,2.22959,1.59052,0.51896,0.42368,0.42794,0.18973,1.82704,1.99727,1.60724,0.0009142,0.0009142,0.0009142
15,169.461,1.93306,2.06999,1.6346,0.546,0.41433,0.40703,0.18316,1.77434,2.03311,1.59963,0.0009076,0.0009076,0.0009076
16,180.416,1.83788,2.01,1.55559,0.53813,0.46729,0.45607,0.21146,1.78736,1.99553,1.59411,0.000901,0.000901,0.000901
17,191.486,1.81023,1.98069,1.52597,0.53675,0.50894,0.48835,0.22662,1.76848,1.83745,1.57376,0.0008944,0.0008944,0.0008944
18,202.718,1.84116,2.02557,1.55588,0.55051,0.47692,0.47777,0.21499,1.77377,1.87085,1.58617,0.0008878,0.0008878,0.0008878
19,213.788,1.88165,1.85625,1.5454,0.50854,0.47975,0.44165,0.19918,1.83544,1.92173,1.55048,0.0008812,0.0008812,0.0008812
20,224.886,1.86794,1.96509,1.51597,0.59676,0.49844,0.4962,0.23527,1.75857,1.78717,1.52746,0.0008746,0.0008746,0.0008746
21,235.846,1.77063,1.78555,1.4794,0.66407,0.47664,0.52659,0.25238,1.73259,1.77364,1.49069,0.000868,0.000868,0.000868
22,246.839,1.81667,1.81883,1.45157,0.64699,0.49844,0.53717,0.26026,1.7289,1.68307,1.48283,0.0008614,0.0008614,0.0008614
23,257.975,1.74114,1.74645,1.4263,0.62717,0.50156,0.54996,0.25715,1.75517,1.67475,1.49455,0.0008548,0.0008548,0.0008548
24,269.037,1.84147,1.81641,1.4694,0.61769,0.53583,0.58594,0.27986,1.72392,1.66214,1.49544,0.0008482,0.0008482,0.0008482
25,280.21,1.77586,1.74653,1.45266,0.70116,0.52336,0.59412,0.2887,1.64927,1.62285,1.46797,0.0008416,0.0008416,0.0008416
26,291.307,1.75822,1.79023,1.45657,0.59276,0.5296,0.58153,0.28038,1.63306,1.62872,1.45442,0.000835,0.000835,0.000835
27,302.374,1.68992,1.65937,1.41063,0.66237,0.60748,0.66043,0.32776,1.59461,1.50648,1.44129,0.0008284,0.0008284,0.0008284
28,313.482,1.7108,1.70159,1.41033,0.6807,0.59813,0.65872,0.31846,1.62323,1.50132,1.40507,0.0008218,0.0008218,0.0008218
29,324.486,1.7331,1.67381,1.43307,0.7056,0.62718,0.70251,0.33633,1.60948,1.43892,1.43431,0.0008152,0.0008152,0.0008152
30,335.518,1.77438,1.63267,1.43253,0.66379,0.62928,0.68258,0.34036,1.63024,1.45359,1.42701,0.0008086,0.0008086,0.0008086
31,346.564,1.67839,1.58931,1.36605,0.69192,0.67913,0.74,0.37386,1.58748,1.33061,1.40523,0.000802,0.000802,0.000802
32,357.775,1.6494,1.62789,1.36032,0.71726,0.6324,0.6923,0.34121,1.63208,1.42452,1.43764,0.0007954,0.0007954,0.0007954
33,368.993,1.74829,1.57123,1.44475,0.74387,0.6243,0.7101,0.3705,1.57141,1.3477,1.42375,0.0007888,0.0007888,0.0007888
34,380.072,1.71253,1.58238,1.46003,0.78946,0.6191,0.73777,0.39362,1.54958,1.32733,1.39486,0.0007822,0.0007822,0.0007822
35,391.138,1.66767,1.49164,1.39024,0.66931,0.66204,0.73375,0.39286,1.51264,1.32844,1.35948,0.0007756,0.0007756,0.0007756
36,402.146,1.60707,1.45396,1.35243,0.76224,0.70911,0.79217,0.42871,1.508,1.24674,1.38097,0.000769,0.000769,0.000769
37,413.142,1.70398,1.43245,1.41538,0.80587,0.69159,0.79431,0.40402,1.55256,1.19703,1.42146,0.0007624,0.0007624,0.0007624
38,424.333,1.68628,1.44586,1.3916,0.73944,0.66044,0.75221,0.39312,1.56599,1.31183,1.38782,0.0007558,0.0007558,0.0007558
39,435.511,1.65435,1.37504,1.35459,0.67869,0.75701,0.78354,0.42881,1.48509,1.18865,1.33276,0.0007492,0.0007492,0.0007492
40,446.642,1.62894,1.37852,1.35479,0.74164,0.7333,0.79837,0.43341,1.49226,1.14291,1.34926,0.0007426,0.0007426,0.0007426
41,457.91,1.63963,1.42806,1.32772,0.83805,0.71963,0.82223,0.46838,1.4542,1.08261,1.31247,0.000736,0.000736,0.000736
42,468.9,1.5764,1.33231,1.3391,0.78265,0.78505,0.8267,0.46712,1.42592,1.07166,1.31705,0.0007294,0.0007294,0.0007294
43,479.884,1.59383,1.32496,1.3257,0.86831,0.73946,0.85493,0.48341,1.41041,1.06291,1.29426,0.0007228,0.0007228,0.0007228
